id,name,type
755,大豆,湿垃圾
756,大哥大,可回收垃圾
757,大骨,干垃圾
758,大骨（如：猪腿骨）,干垃圾
759,大骨棒,干垃圾
760,大骨头,干垃圾
761,大核桃壳,干垃圾
762,大块骨头,干垃圾
763,大龙虾,湿垃圾
764,大龙虾壳,干垃圾
765,大龙虾头,干垃圾
766,大米,湿垃圾
767,大米包装袋,干垃圾
768,大米袋,干垃圾
769,大排,湿垃圾
770,大排骨,干垃圾
771,大排骨头,干垃圾
772,大螃蟹壳,湿垃圾
773,大屏电视机,可回收垃圾
774,大蒜,湿垃圾
775,大蒜皮,湿垃圾
776,大蒜叶,湿垃圾
777,大提琴,可回收垃圾
778,大头钉,干垃圾
779,大头针,干垃圾
780,大型多功能打印机,可回收垃圾
781,大型复印机,可回收垃圾
782,大型烘干机,可回收垃圾
783,大型显示器,可回收垃圾
784,大衣,可回收垃圾
785,大闸蟹,湿垃圾
786,大闸蟹壳,湿垃圾
787,大猪蹄子,可回收垃圾
788,带鼻涕的餐巾纸,干垃圾
789,带防晒霜的防晒霜罐,干垃圾
790,带酱汁的塑料袋,干垃圾
791,带胶制品,干垃圾
792,带肉牛骨头,干垃圾
793,带血包装袋,干垃圾
794,带血塑料袋,干垃圾
795,带油包装皮,干垃圾
796,带油抹布,干垃圾
797,带有狗屎的纸巾,干垃圾
798,带有婴儿粪便的尿不湿,干垃圾
799,带有婴儿粪便的纸尿裤,干垃圾
800,带鱼骨头,湿垃圾
801,带子壳,湿垃圾
802,袋泡茶,干垃圾
803,袋装茶叶,干垃圾
804,担担面,湿垃圾
805,淡菜,湿垃圾
806,弹簧,可回收垃圾
807,蛋,湿垃圾
808,蛋白,湿垃圾
809,蛋白素肉包装袋,干垃圾
810,蛋糕,湿垃圾
811,蛋糕包装,干垃圾
812,蛋糕包装袋,干垃圾
813,蛋糕包装盒,干垃圾
814,蛋糕袋,干垃圾
815,蛋糕盒,干垃圾
816,蛋黄,湿垃圾
817,蛋黄饼包装盒,可回收垃圾
818,蛋黄饼塑料包装盒,干垃圾
819,蛋黄酥,湿垃圾
820,蛋黄酥包装盒,干垃圾
821,蛋黄月饼塑料包装盒,干垃圾
822,蛋卷,湿垃圾
823,蛋壳,湿垃圾
824,蛋壳壳,湿垃圾
825,蛋类,湿垃圾
826,蛋殼,湿垃圾
827,蛋挞,湿垃圾
828,蛋挞盒,可回收垃圾
829,蛋挞壳,干垃圾
830,蛋挞皮,湿垃圾
831,蛋挞托,干垃圾
832,档案袋,可回收垃圾
833,党参,湿垃圾
834,刀,可回收垃圾
835,刀片,可回收垃圾
836,导线,可回收垃圾
837,稻草,干垃圾
838,德克士炸鸡,湿垃圾
839,的确良,可回收垃圾
840,灯管,有害垃圾
841,灯管灯泡,有害垃圾
842,灯具,大件垃圾
843,灯泡,有害垃圾
844,灯炮,有害垃圾
845,登机牌,干垃圾
846,登山杖,可回收垃圾
847,凳子,大件垃圾
848,低温牛奶盒子,可回收垃圾
849,滴漏式咖啡,干垃圾
850,滴露瓶,可回收垃圾
851,滴滤咖啡,干垃圾
852,底片,干垃圾
853,地板,装修垃圾
854,地板蜡,干垃圾
855,地板砖,可回收垃圾
856,地瓜皮,湿垃圾
857,地球仪,可回收垃圾
858,地毯,可回收垃圾
859,地铁,装修垃圾
860,地铁票,可回收垃圾
861,地图,可回收垃圾
862,帝王蟹壳,干垃圾
863,点钞机,可回收垃圾
864,点心盒,可回收垃圾
865,碘伏棉球,家用医疗用
866,碘酒棉球,干垃圾
867,碘酒瓶,有害垃圾
868,电表盒,可回收垃圾
869,电冰箱,可回收垃圾
870,电池,有害垃圾
871,电池板,有害垃圾
872,电吹风,可回收垃圾
873,电磁炉,可回收垃圾
874,电灯,可回收垃圾
875,电灯泡,有害垃圾
876,电动保温箱,可回收垃圾
